survey_long,file,variable,description,sheet,population,definition
National Health Survey,AHSnhs11bsp,PROXYCH,Proxy status for children,Administrative,All selected persons aged 2–17 years,NA
National Health Survey,AHSnhs11bsp,PROFENG,Proficiency in spoken English,Demographics,All persons aged 2 years and over,NA
National Health Survey,AHSnhs11bsp,EDATTQ2,Whether has a non-school qualification,Education,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,STDYFTPT,Whether currently studying full-time or part-time,Education,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,MORE1JB,Whether had more than one job or business last week,Employment,All employed persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,EMPABS,Reason absent from work,Employment,All employed persons aged 15 years and over who were not at work in last week,NA
National Health Survey,AHSnhs11bsp,HEALFCS,Time since last consulted a specialist,Health,All persons,NA
National Health Survey,AHSnhs11bsp,HEALFGP,Time since last consulted GP for own health,Health,All persons,NA
National Health Survey,AHSnhs11bsp,HEALFLI,Whether discussed lifestyle issues with GP in the last 12 months,Health,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,HEALLSIA,Type of lifestyle issues discussed with GP in the last 12 months (A),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEALLSIB,Type of lifestyle issues discussed with GP in the last 12 months (B),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEALLSIC,Type of lifestyle issues discussed with GP in the last 12 months (C),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEALLSID,Type of lifestyle issues discussed with GP in the last 12 months (D),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEALLSIE,Type of lifestyle issues discussed with GP in the last 12 months (E),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEALLSIF,Type of lifestyle issues discussed with GP in the last 12 months (F),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEALLSIG,Type of lifestyle issues discussed with GP in the last 12 months (G),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAPAROX,Presence of parent during health service use questions,Administrative,All selected persons 15–17 years,NA
National Health Survey,AHSnhs11bsp,HEALTCD,Time since last consulted a dentist or dental professional,Health,Persons aged 2 years and over,NA
National Health Survey,AHSnhs11bsp,HEALDFS,Number of days in a fortnight stayed away from school/study due to illness/injury,Health,Persons aged 5 years and over and currently studying,NA
National Health Survey,AHSnhs11bsp,HEALDSC,Number of days in a fortnight stayed away from school/study to look after someone else,Health,Persons aged 5 years and over and currently studying,NA
National Health Survey,AHSnhs11bsp,HEALTWI,Whether had time off work due to illness/injury in last 2 weeks,Health,Employed persons,NA
National Health Survey,AHSnhs11bsp,HEALDWI,Number of days in a fortnight stayed away from work due to illness/injury,Health,Employed persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,HEALDWC,Number of days in a fortnight stayed away from work to look after someone else,Health,Employed persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,PAINBOD,Bodily pain experienced in the last four weeks,Health,All persons aged 18 years and over,NA
National Health Survey,AHSnhs11bsp,MWBPAINT,Interference with normal work during last 4 weeks because of bodily pain,Health,All persons aged 18 years and over,NA
National Health Survey,AHSnhs11bsp,DISABA,Disability type,NA,NA,NA
National Health Survey,AHSnhs11bsp,DISABB,Disability type,NA,NA,NA
National Health Survey,AHSnhs11bsp,DISABC,Disability type,NA,NA,NA
National Health Survey,AHSnhs11bsp,DISABD,Disability type,NA,NA,NA
National Health Survey,AHSnhs11bsp,DISABE,Disability type,NA,NA,NA
National Health Survey,AHSnhs11bsp,DISABF,Disability type,NA,NA,NA
National Health Survey,AHSnhs11bsp,DISSTAT,Disability status,Health,All persons,NA
National Health Survey,AHSnhs11bsp,DISEDIF,Whether has an education restriction,Health,All persons with a disability aged 5-14 years and 15 years and over who are currently studying,NA
National Health Survey,AHSnhs11bsp,DISEDITA,Difficulties with education,NA,NA,NA
National Health Survey,AHSnhs11bsp,DISEDITB,Difficulties with education,NA,NA,NA
National Health Survey,AHSnhs11bsp,DISEDITC,Difficulties with education,NA,NA,NA
National Health Survey,AHSnhs11bsp,DISEDITD,Difficulties with education,NA,NA,NA
National Health Survey,AHSnhs11bsp,DISEMIF,Whether has an employment restriction,Health,All persons aged 15 years and over with a disability,NA
National Health Survey,AHSnhs11bsp,DISEMITA,Difficulties with employment,NA,NA,NA
National Health Survey,AHSnhs11bsp,DISEMITB,Difficulties with employment,NA,NA,NA
National Health Survey,AHSnhs11bsp,DISEMITC,Difficulties with employment,NA,NA,NA
National Health Survey,AHSnhs11bsp,DISEMITD,Difficulties with employment,NA,NA,NA
National Health Survey,AHSnhs11bsp,DISEMITE,Difficulties with employment,NA,NA,NA
National Health Survey,AHSnhs11bsp,SABDYMS,Self-perceived body mass,Physical measurements&Body Mass,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,BDYMSQ2A,Self-assessed body mass compared to 12 months ago,Physical measurements&Body Mass,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,EXLEVELW,"Level of exercise undertaken for fitness, recreation or sport in last week (time-series)",Risk factor - Physical Activity,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,EXLEVELN,"Level of exercise undertaken for fitness, recreation, sport or walking for transport in last week",Risk factor - Physical Activity,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,EXNUDAYW,"Number of days exercised for fitness, recreation, sport or for transport in last week",Risk factor - Physical Activity,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,EXNUDTH,"Number of days exercised for fitness, recreation, sport or transport for at least 30 mins last week",Risk factor - Physical Activity,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,EXTYPELW,"Type of exercise undertaken for fitness, recreation or sport in last week (time-series)",Risk factor - Physical Activity,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,PHYAW,Usual physical activity at work,Risk factor - Physical Activity,All employed persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,EMPSEDM,Total minutes spent sitting at work on a usual day,Risk factor - Physical Activity,All full-time employed persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,SEDDAYM,Total minutes spent sitting at leisure on a usual work/week day,Risk factor - Physical Activity,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,DURSACSF,Whether participated in sufficient activity in last week (duration and session),Risk factor - Physical Activity,All persons aged 18 years and over,NA
National Health Survey,AHSnhs11bsp,DURACSF,Whether participated in sufficient activity in last week (duration),Risk factor - Physical Activity,All persons aged 18 years and over,NA
National Health Survey,AHSnhs11bsp,EXREGUID,Whether exercise last week met 150 minutes and 5 sessions recommended guidelines,Risk factor - Physical Activity,All persons aged 18 years and over,NA
National Health Survey,AHSnhs11bsp,CHBRFF,Type of first feed,Health,All persons aged 0–3 years,NA
National Health Survey,AHSnhs11bsp,CHBRMG,Whether met breastfeeding guidelines (6 months),Health,All persons aged 0.5–3 years,NA
National Health Survey,AHSnhs11bsp,CHBRMGS,Whether met breastfeeding guideliness (12 months),Health,All persons aged 1–3 years,NA
National Health Survey,AHSnhs11bsp,CHBRTPA,Type of products ever had,NA,NA,NA
National Health Survey,AHSnhs11bsp,CHBRTPB,Type of products ever had,NA,NA,NA
National Health Survey,AHSnhs11bsp,CHBRTPC,Type of products ever had,NA,NA,NA
National Health Survey,AHSnhs11bsp,CHBRTPD,Type of products ever had,NA,NA,NA
National Health Survey,AHSnhs11bsp,CHBRTPE,Type of products ever had,NA,NA,NA
National Health Survey,AHSnhs11bsp,CHBRTPF,Type of products ever had,NA,NA,NA
National Health Survey,AHSnhs11bsp,CHBRTPG,Type of products ever had,NA,NA,NA
National Health Survey,AHSnhs11bsp,CHBRTPH,Type of products ever had,NA,NA,NA
National Health Survey,AHSnhs11bsp,CHBRTPI,Type of products ever had,NA,NA,NA
National Health Survey,AHSnhs11bsp,EXBRST,Age exclusively breastfed (in months),Health,All persons aged 0–3 years,NA
National Health Survey,AHSnhs11bsp,EXBRSA,Age exclusively breastfed (or current age if still exclusively breastfeeding) (in months),Health,All persons aged 0–3 years,NA
National Health Survey,AHSnhs11bsp,CHBRAO,Age first had anything other than breast milk (in months),Health,All persons aged 0–3 years,NA
National Health Survey,AHSnhs11bsp,CHBRRB,Whether ever received breast milk,Health,All persons aged 0–3 years,NA
National Health Survey,AHSnhs11bsp,CHBRCR,Currently receiving breast milk,Health,All persons aged 0–3 years,NA
National Health Survey,AHSnhs11bsp,CHBRSR,Age stopped receiving any breast milk (in months),Health,All persons aged 0–3 years,NA
National Health Survey,AHSnhs11bsp,CHBRAF,Age first had infant formula (in months),Health,All persons aged 0–3 years,NA
National Health Survey,AHSnhs11bsp,CHBRAC,Age first had cows milk (in months),Health,All persons aged 0–3 years,NA
National Health Survey,AHSnhs11bsp,SMKSTOP,Whether stopped smoking daily in the last 12 months,Risk factors,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,SMKPAROX,Presence of parent during smoking questions,Administrative,All selected persons 15–17 years,NA
National Health Survey,AHSnhs11bsp,SMKDAILY,Daily smoker status,Risk factors,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,SMOKE13A,Smoking volume compared to 12 months ago,Risk factors,All persons who currently smoke aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,SMKTCNI,Type of smoker who increased smoking volume compared to 12 months ago,Risk factors,All persons who increased smoking in last 12 months aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,SMKTCED,Type of smoker who decreased smoking volume compared to 12 months ago,Risk factors,All persons who decreased smoking in last 12 months aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,DIETRDI,Whether vegetable and fruit consumption met recommended guidelines,Risk factor - Nutrition,All persons aged 4 years and over,NA
National Health Survey,AHSnhs11bsp,MILKFATU,Fat content of main type of milk usually consumed,Risk factor - Nutrition,All persons aged 2 years and over,NA
National Health Survey,AHSnhs11bsp,SALTACI,Whether salt used in cooking or preparing food is iodised,Risk factor - Nutrition,All persons aged 2 years and over,NA
National Health Survey,AHSnhs11bsp,SALTATI,Whether salt added to meal at table is iodised,Risk factor - Nutrition,All persons aged 2 years and over,NA
National Health Survey,AHSnhs11bsp,ALCDYWA,Days in last week consumed alcohol,NA,NA,NA
National Health Survey,AHSnhs11bsp,ALCDYWB,Days in last week consumed alcohol,NA,NA,NA
National Health Survey,AHSnhs11bsp,ALCDYWC,Days in last week consumed alcohol,NA,NA,NA
National Health Survey,AHSnhs11bsp,ALCDYWD,Days in last week consumed alcohol,NA,NA,NA
National Health Survey,AHSnhs11bsp,ALCDYWE,Days in last week consumed alcohol,NA,NA,NA
National Health Survey,AHSnhs11bsp,ALCDYWF,Days in last week consumed alcohol,NA,NA,NA
National Health Survey,AHSnhs11bsp,ALCDYWG,Days in last week consumed alcohol,NA,NA,NA
National Health Survey,AHSnhs11bsp,ALCDAYS,Number of days drank alcohol in last week,Risk factors,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,ALCPAROX,Presence of parent during alcohol questions,Administrative,All selected persons 15–17 years,NA
National Health Survey,AHSnhs11bsp,ALCMPRSN,Consumption in reference week compared to usual consumption,Risk factors,All persons aged 15 years and over who drank in the last week,NA
National Health Survey,AHSnhs11bsp,ALCSTRAO,Short term alcohol risk - alcohol consumption on any occasion in last 12 month (2009 guidelines),Risk factors,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,ALCF11,Frequency of consuming 11 or more drinks a day in the last 12 months,Risk factors,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,ALCF11C,Number of days consumed 11 or more drinks over the last 12 months,Risk factors,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,ALCF7,Frequency of consuming 7 or more drinks a day in the last 12 months,Risk factors,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,ALCF7C,Number of days consumed 7 or more drinks over the last 12 months,Risk factors,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,ALCF5,Frequency of consuming 5 or more drinks a day in the last 12 months,Risk factors,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,ALCF5C,Number of days consumed 5 or more drinks over the last 12 months,Risk factors,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,ALCF3,Frequency of consuming 3 or more drinks a day in the last 12 months,Risk factors,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,ALCF3C,Number of days consumed 3 or more drinks over the last 12 months,Risk factors,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,ALCSTR01,Short term alcohol risk (2001 Guidelines),Risk factors,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,ASTHQ21E,Number of times asthma got worse and went to hospital or emergency in last 12 months,Health,Persons who still get asthma or have had symptoms in the last 12 months and asthma got worse or out of control in the last 12 months,NA
National Health Survey,AHSnhs11bsp,ASTHQ30E,Number of times asthma interfered with daily activities in the last 4 weeks,Health,Persons who still get asthma or have had symptoms in the last 12 months,NA
National Health Survey,AHSnhs11bsp,CHOL5YR,Whether has had cholesterol checked in the last 5 years,Health,Persons aged 18 years and over with a current heart/ circulatory condition,NA
National Health Survey,AHSnhs11bsp,CHOLEST,When was cholesterol last checked,Health,Persons aged 18 years and over with a current heart/ circulatory condition,NA
National Health Survey,AHSnhs11bsp,BPWHO,Who usually checks blood pressure,Health,Persons aged 18 years and over with current heart/ circulatory condition,NA
National Health Survey,AHSnhs11bsp,BPCHK,When was blood pressure last checked,Health,Persons aged 18 years and over with current heart/ circulatory condition,NA
National Health Survey,AHSnhs11bsp,CARSBPS,Whether checked own blood pressure in last 12 months,Health,Persons aged 18 years and over with current heart/ circulatory condition and checked BP in the last 12 months,NA
National Health Survey,AHSnhs11bsp,CARDASP,Whether uses aspirin daily for heart or circulatory condition,Health,Persons aged 18 years and over with current heart/ circulatory condition,NA
National Health Survey,AHSnhs11bsp,TDARTHA,Type of actions taken for arthritis in last 2 weeks,NA,NA,NA
National Health Survey,AHSnhs11bsp,TDARTHB,Type of actions taken for arthritis in last 2 weeks,NA,NA,NA
National Health Survey,AHSnhs11bsp,TDARTHC,Type of actions taken for arthritis in last 2 weeks,NA,NA,NA
National Health Survey,AHSnhs11bsp,TDARTHD,Type of actions taken for arthritis in last 2 weeks,NA,NA,NA
National Health Survey,AHSnhs11bsp,TDARTHE,Type of actions taken for arthritis in last 2 weeks,NA,NA,NA
National Health Survey,AHSnhs11bsp,TDARTHF,Type of actions taken for arthritis in last 2 weeks,NA,NA,NA
National Health Survey,AHSnhs11bsp,TDARTHG,Type of actions taken for arthritis in last 2 weeks,NA,NA,NA
National Health Survey,AHSnhs11bsp,TDARTHH,Type of actions taken for arthritis in last 2 weeks,NA,NA,NA
National Health Survey,AHSnhs11bsp,MSKAACTA,Action taken for osteoporosis or osteopenia in last 2 weeks,NA,NA,NA
National Health Survey,AHSnhs11bsp,MSKAACTB,Action taken for osteoporosis or osteopenia in last 2 weeks,NA,NA,NA
National Health Survey,AHSnhs11bsp,MSKAACTC,Action taken for osteoporosis or osteopenia in last 2 weeks,NA,NA,NA
National Health Survey,AHSnhs11bsp,MSKAACTD,Action taken for osteoporosis or osteopenia in last 2 weeks,NA,NA,NA
National Health Survey,AHSnhs11bsp,MSKAACTE,Action taken for osteoporosis or osteopenia in last 2 weeks,NA,NA,NA
National Health Survey,AHSnhs11bsp,MSKAACTF,Action taken for osteoporosis or osteopenia in last 2 weeks,NA,NA,NA
National Health Survey,AHSnhs11bsp,MSKAACTG,Action taken for osteoporosis or osteopenia in last 2 weeks,NA,NA,NA
National Health Survey,AHSnhs11bsp,MSKAACTH,Action taken for osteoporosis or osteopenia in last 2 weeks,NA,NA,NA
