survey_long,file,variable,description,sheet,population,definition
National Health Survey,AHSnhs11bsp,HEAL2WKR,Actions taken for health in the last 2 weeks (excl dentist) (R),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL2WKS,Actions taken for health in the last 2 weeks (excl dentist) (S),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL2WKT,Actions taken for health in the last 2 weeks (excl dentist) (T),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL2WKU,Actions taken for health in the last 2 weeks (excl dentist) (U),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL2WKV,Actions taken for health in the last 2 weeks (excl dentist) (V),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL2WKW,Actions taken for health in the last 2 weeks (excl dentist) (W),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL2WKX,Actions taken for health in the last 2 weeks (excl dentist) (X),NA,NA,NA
National Health Survey,AHSnhs11bsp,MFIELDCF,Main field of highest non-school qualification (ASCED),Education,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,HEALF25E,Number of visits to dentist in last 12 months,Health,Persons aged 2 years and over,NA
National Health Survey,AHSnhs11bsp,FEMLSBC,Female life stages,Health,Females aged 10 years and over,NA
National Health Survey,AHSnhs11bsp,WPM0101,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0102,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0103,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0104,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0105,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0106,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0107,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0108,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0109,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0110,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0111,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0112,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0113,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0114,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0115,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0116,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0117,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0118,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0119,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0120,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0121,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0122,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0123,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0124,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0125,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0126,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0127,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0128,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0129,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0130,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0131,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0132,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0133,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0134,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0135,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0136,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0137,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0138,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0139,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0140,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0141,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0142,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0143,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0144,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0145,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0146,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0147,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0148,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0149,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0150,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0151,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0152,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0153,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0154,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0155,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0156,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0157,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0158,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0159,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,WPM0160,Replicate Weights 60 PER1,NA,NA,NA
National Health Survey,AHSnhs11bsp,NHSFINWT,Person weight PAA,Administrative,Selected persons (Person level),NA
National Health Survey,AHSnhs11bsp,MNKESSLR,Kessler 10 score,Health,All persons aged 18 years and over,NA
National Health Survey,AHSnhs11bsp,MNKESSGP,Grouped Kessler 10 score,Health,All persons aged 18 years and over,NA
National Health Survey,AHSnhs11bsp,MNKFIV,Kessler 5 score,Health,All persons aged 18 years and over,NA
National Health Survey,AHSnhs11bsp,MNKFIVGP,K5 score categorised,Health,All persons aged 18 years and over,NA
National Health Survey,AHSnhs11bsp,TOTPAC,Mls of pure alcohol consumed,Risk factors,Persons aged 15 years and over who consumed alcohol in last week,NA
National Health Survey,AHSnhs11bsp,ALINTDAY,Average daily intake over days recorded (in mls),Risk factors,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,ALINTWK,Average daily intake over week (in mls),Risk factors,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,ALCWKLY,Estimated total weekly consumption (in mls),Risk factors,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,ALCWKSD,Estimated total weekly consumption (in standard drinks),Risk factors,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,AL3DAYAV,Average daily intake over days recorded (in standard drinks),Risk factors,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,AL2K3DAY,Alcohol risk level 3 day average (2001 guidelines),Risk factors,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,AL2K7DAY,Alcohol risk level 7 day average (2001 guidelines),Risk factors,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,ALWKDFLG,Alcohol weekend consumption flag,Risk factors,Persons aged 15 years and over who drank in the last week,NA
National Health Survey,AHSnhs11bsp,ALINWKSD,Average daily intake over week (in standard drinks),Risk factors,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,ALCLTR7D,Alcohol risk level 7 day average (2009 guidelines),Risk factors,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,ALCLTR3D,Alcohol risk level 3 day average (2009 guidelines),Risk factors,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,DURSLP,Duration of use of sleeping tablets or capsules for mental health condition,Health,All persons reporting MHC medications use,NA
National Health Survey,AHSnhs11bsp,DURANX,Duration of use of tablets or capsules for anxiety or nerves for mental health condition,Health,All persons reporting MHC medications use,NA
National Health Survey,AHSnhs11bsp,DURTRAN,Duration of use of tranquillisers for mental health condition,Health,All persons reporting MHC medications use,NA
National Health Survey,AHSnhs11bsp,DURANTI,Duration of use of antidepressants for mental health condition,Health,All persons reporting MHC medications use,NA
National Health Survey,AHSnhs11bsp,DURMOOD,Duration of use of mood stabilisers for mental health condition,Health,All persons reporting MHC medications use,NA
National Health Survey,AHSnhs11bsp,DUROTH,Duration of use of other mental health medications for mental health condition,Health,All persons reporting MHC medications use,NA
National Health Survey,AHSnhs11bsp,FREQSLP,Frequency of use of sleeping tablets or capsules for mental health condition,Health,All persons reporting MHC medications use,NA
National Health Survey,AHSnhs11bsp,FREQANX,Frequency of tablets or capsules for anxiety or nerves used for mental health condition,Health,All persons reporting MHC medications use,NA
National Health Survey,AHSnhs11bsp,FREQTRAN,Frequency of tranquillisers used for mental health condition,Health,All persons reporting MHC medications use,NA
National Health Survey,AHSnhs11bsp,FREQANTI,Frequency of antidepressants used for mental health condition,Health,All persons reporting MHC medications use,NA
National Health Survey,AHSnhs11bsp,FREQMOOD,Frequency of mood stabilisers used for mental health condition,Health,All persons reporting MHC medications use,NA
National Health Survey,AHSnhs11bsp,FREQOTH,Frequency of other mental health medications used for mental health condition,Health,All persons reporting MHC medications use,NA
National Health Survey,AHSnhs11bsp,PROXYAD,Adult interview conducted by proxy,Administrative,All selected persons aged 18 years and over,NA
National Health Survey,AHSnhs11bsp,EXREGUIC,Whether exercise last week met 150 minutes recommended guidelines,Risk factor - Physical Activity,All persons aged 18 years and over,NA
National Health Survey,AHSnhs11bsp,SMKSTAT,Smoker status,Risk factors,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,SYSTOL,Systolic Blood Pressure (mmHg),Physical measurements&Body Mass,All persons aged 5 years and over,NA
National Health Survey,AHSnhs11bsp,DIASTOL,Diastolic Blood Pressure (mmHg),Physical measurements&Body Mass,All persons aged 5 years and over,NA
National Health Survey,AHSnhs11bsp,SEX,Sex of person,Demographics,All persons,NA
National Health Survey,AHSnhs11bsp,CNDNUMSP,Number of conditions reported (incl. not current or long-term),Health,All persons,NA
National Health Survey,AHSnhs11bsp,CNDNUMLS,Number of Long-Term Conditions,Health,All persons,NA
National Health Survey,AHSnhs11bsp,MWBSQ02,How often felt tired out for no good reason (in last 4 weeks),Health,All persons aged 18 years and over,NA
National Health Survey,AHSnhs11bsp,MWBSQ03,How often felt nervous (in last 4 weeks),Health,All persons aged 18 years and over,NA
National Health Survey,AHSnhs11bsp,MWBSQ04,How often felt so nervous that nothing could calm you down (in last 4 weeks),Health,All persons aged 18 years and over,NA
National Health Survey,AHSnhs11bsp,MWBSQ05,How often felt hopeless (in last 4 weeks),Health,All persons aged 18 years and over,NA
National Health Survey,AHSnhs11bsp,MWBSQ06,How often felt restless or fidgety (in last 4 weeks),Health,All persons aged 18 years and over,NA
National Health Survey,AHSnhs11bsp,MWBSQ07,How often felt so restless that you could not sit still (in last 4 weeks),Health,All persons aged 18 years and over,NA
National Health Survey,AHSnhs11bsp,MWBSQ08,How often felt depressed (in last 4 weeks),Health,All persons aged 18 years and over,NA
National Health Survey,AHSnhs11bsp,MWBSQ09,How often felt everything was an effort (in last 4 weeks),Health,All persons aged 18 years and over,NA
National Health Survey,AHSnhs11bsp,MWBSQ10,How often felt so sad that nothing could cheer you up (in last 4 weeks),Health,All persons aged 18 years and over,NA
National Health Survey,AHSnhs11bsp,MWBSQ11,How often felt worthless (in last 4 weeks),Health,All persons aged 18 years and over,NA
National Health Survey,AHSnhs11bsp,AGEMTHS2,Age in months of person 3 years and below,Demographics,All persons aged less than 4 years,NA
National Health Survey,AHSnhs11bsp,IDDAYWK,Day of the week of interview,Administrative,All selected persons,NA
